date,ad_product_category,region,ad_placement,industry,impressions,cpm,customer_id,account_id,revenue
2018-08-21,A,Two,Alpha,A,668,1.2481089258,92139786306600894464,186.0,0.8337367624344
2018-08-21,A,Two,Alpha,A,4448,2.5252043598,88066775096602492928,1356.0,11.2321089923904
2018-08-21,A,Two,Beta,B,364503,2.6275569003,62064189546546003968,709.0,957.752372830051
2018-08-21,A,Two,Beta,A,5993,3.4034378160000003,9887303736631410688,143.0,20.396802831288003
2018-08-21,A,Two,Beta,B,26122318,3.7773977069999995,0,0.0,98674.38411472482
2018-08-21,A,Two,Beta,A,4524,3.610180845,74007808106576396288,1066.0,16.332458142780002
2018-08-21,A,One,Alpha,A,25079,1.58547783,32402841666634600448,2371.0,39.76219849857
2018-08-21,A,Two,Alpha,A,34132,2.0770255074,74007808106576396288,1066.0,70.8930346185768
2018-08-21,A,Two,Beta,A,3038,2.3477393616,80298117176634802176,2418.0,7.1324321805408
2018-08-21,A,Two,Alpha,A,42449,1.8702800448,9887303736631410688,143.0,79.39151762171521
2018-08-21,A,Two,Alpha,B,8444,2.6143144737,68218030176548601856,731.0,22.0752714159228
2018-08-21,A,Two,Alpha,A,23177,1.3143629073,63358904376615297024,1617.0,30.462989102492102
2018-08-21,A,Two,Alpha,A,32006,1.8827984475,80298117176634802176,2418.0,60.260847110685
2018-08-21,A,Two,Beta,A,177,2.64,31169638456600600576,1329.0,0.46728000000000003
2018-08-21,A,Two,Beta,D,529,1.5114503817,40012851266626502656,2060.0,0.7995572519193
2018-08-21,A,Two,Alpha,A,505329,4.536273662999999,72098857066537500672,80.0,2292.3106338501266
2018-08-21,A,Two,Alpha,A,19535,4.519542963,70226104386638798848,2457.0,88.289271782205
2018-08-21,B,Two,Alpha,G,458984,32.67758121,39113830466636898304,2495.0,14998.48693409064
2018-08-21,A,Two,Beta,A,221,7.534246574999999,48186961986613903360,140.0,1.665068493075
2018-08-21,A,Two,Alpha,A,150718,4.085139318,62330521666629500928,143.0,615.7040277303241
2018-08-21,A,Two,Alpha,A,233558,3.834916062,2548326466621689856,2218.0,895.6753256085959
2018-08-21,A,Two,Alpha,A,3082,0.9301868241,56369510466612502528,1544.0,2.8668357918761997
2018-08-21,A,Two,Alpha,D,6714,2.4769855596,40012851266626502656,2060.0,16.6304810471544
2018-08-21,A,Two,Beta,A,10,56.099999999999994,33245020216609898496,143.0,0.561
2018-08-21,A,Two,Beta,A,436,3.7430555549999998,78392760376625397760,140.0,1.63197222198
2018-08-21,A,Two,Beta,B,1093,2.6229205176,20851691626551500800,738.0,2.8668521257368
2018-08-21,A,Two,Alpha,A,14625,1.9394337018,57324943426620596224,1752.0,28.364217888825003
2018-08-21,A,One,Alpha,A,219932,6.476822469,67361976376639496192,2640.0,1424.460519252108
2018-08-21,A,Two,Alpha,B,204072,3.8644352160000004,62064189546546003968,709.0,788.6230233995522
2018-08-21,A,Two,Beta,A,54613,0.8074234352999999,62330521666629500928,143.0,44.0958160720389
2018-08-21,A,Two,Alpha,C,1563,1.7054263565999999,65065687136565698560,736.0,2.6655813953657996
2018-08-21,A,Two,Alpha,A,10334,3.8315089920000003,54960414776621400064,186.0,39.594813923328005
2018-08-21,A,Two,Alpha,A,109919,3.574689198,33245020216609898496,143.0,392.92626195496206
2018-08-21,A,Five,Beta,B,723,1.0248435753,62064189546546003968,709.0,0.7409619049419
2018-08-21,A,Two,Alpha,A,73118,4.741636047,78392760376625397760,140.0,346.698944484546
2018-08-21,A,Two,Alpha,A,216098,5.873780367,48186961986613903360,140.0,1269.3121897479662
2018-08-21,A,Two,Beta,B,2951,2.3299445586,68218030176548601856,731.0,6.8756663924286
2018-08-21,A,Two,Alpha,A,76219,8.135866107,1633658946634319872,2218.0,620.107578809433
2018-08-21,A,Two,Alpha,A,227332,4.198435229999999,24929013856555298816,141.0,954.4386777063598
2018-08-21,A,Two,Beta,A,301,4.584563757,38635817016633901056,2316.0,1.3799536908569998
2018-08-21,A,Two,Alpha,A,46874,2.7020038785000002,7167836216593189888,1191.0,126.65372980080902
2018-08-21,A,One,Beta,B,268864,3.618526203,86528403941086494720,2242.0,972.8914290433921
2018-08-22,A,Two,Beta,A,22,157.5,82072197186618802176,2216.0,3.465
2018-08-22,A,Two,Alpha,A,17137,2.9252077563,72098857066537500672,80.0,50.1292853197131
2018-08-22,A,Two,Beta,A,615,0.0,60429363306514096128,333.0,0.0
2018-08-22,A,Five,Alpha,A,129,41.25,7167836216593189888,1191.0,5.32125
2018-08-22,A,Two,Beta,A,3005,2.4403361346,50432860226600198144,1298.0,7.3332100844729995
2018-08-22,A,Two,Alpha,A,59643,5.69391384,59554744386631401472,143.0,339.60210315911996
2018-08-22,A,Five,Beta,A,448,2.6203783785,57207572576581697536,947.0,1.173929513568
2018-08-22,A,Two,Beta,D,779,4.5369649800000005,40012851266626502656,2060.0,3.53429571942
2018-08-22,A,Two,Alpha,A,6002,1.5381120645000002,88066775096602492928,1356.0,9.231748611129001
2018-08-22,A,Two,Alpha,A,19770,1.6454480433,80298117176634802176,2418.0,32.530507816041
2018-08-22,A,Two,Alpha,A,48822,2.5629952212,74007808106576396288,1066.0,125.13055268942641
2018-08-22,A,One,Alpha,A,23143,2.6599895262,32402841666634600448,2371.0,61.560137604846595
2018-08-22,A,Two,Beta,B,25318216,4.004577423,0,0.0,101388.75618423735
2018-08-22,A,Two,Alpha,A,59226,2.3466916779,71493324896517201920,78.0,138.9851613153054
2018-08-22,A,Two,Alpha,A,22392,1.8621109608,9887303736631410688,143.0,41.6963886342336
2018-08-22,A,Five,Beta,B,646,0.8113874999999999,62064189546546003968,709.0,0.524156325
2018-08-22,A,Two,Alpha,A,40455,4.683801867,70226104386638798848,2457.0,189.483204529485
2018-08-22,A,Two,Beta,A,33390,0.8245258475999999,62330521666629500928,143.0,27.530918051363997
2018-08-22,A,Two,Beta,A,330,10.293577982999999,48186961986613903360,140.0,3.3968807343899994
2018-08-22,A,Three,Beta,A,6699,2.1044776119,46061291586639503360,2660.0,14.097895522118101
